[2.094395, 1, 0.0, 0.0]	[ 0.82287576 -1.82287576]
[4.18879, 1, 0.0, 0.0]	[ 0.82287545 -1.82287545]
[1.284725, 1, 0.0, 1.0471975511965976]	[ 0.63024493 -1.63024493]
[2.892358, 1, 0.0, 2.0943951023931953]	[ 0.79745366 -1.79745366]
[0.0, 1, 0.0, 3.141592653589793]	[ 0.61803399 -1.61803399]
[3.141593, 1, 0.0, 3.141592653589793]	[ 1.30277564 -2.30277564]
[6.283185, 1, 0.0, 3.141592653589793]	[ 0.61803399 -1.61803399]
[1.415746, 1, 1.0471975511965976, 0.0]	[ 1.0827852 -2.0827852]
[2.534989, 1, 1.0471975511965976, 3.141592653589793]	[ 0.76794324 -1.76794324]
[5.947679, 1, 1.0471975511965976, 3.141592653589793]	[ 0.59621839 -1.59621839]
[0.886394, 1, 2.0943951023931953, 0.0]	[ 0.64142183 -1.64142183]
[4.454681, 1, 2.0943951023931953, 0.0]	[ 0.70167796 -1.70167796]
[6.103964, 1, 2.0943951023931953, 3.141592653589793]	[ 1.09301278 -2.09301278]
[1.047198, 1, 3.141592653589793, 0.0]	[ 0.8228761 -1.8228761]
[5.235988, 1, 3.141592653589793, 0.0]	[ 0.82287542 -1.82287542]
[4.426317, 1, 3.141592653589793, 1.0471975511965976]	[ 0.63024477 -1.63024477]
[6.03395, 1, 3.141592653589793, 2.0943951023931953]	[ 0.79745298 -1.79745298]
[0.0, 1, 3.141592653589793, 3.141592653589793]	[ 1.30277564 -2.30277564]
[3.141593, 1, 3.141592653589793, 3.141592653589793]	[ 0.61803399 -1.61803399]
[6.283185, 1, 3.141592653589793, 3.141592653589793]	[ 1.30277564 -2.30277564]
[2.094395, 2, 0.0, 0.0]	[ 0.82287576 -1.82287576]
[4.18879, 2, 0.0, 0.0]	[ 0.82287545 -1.82287545]
[1.698054, 2, 0.0, 1.0471975511965976]	[ 0.65961196 -1.65961196]
[2.665246, 2, 0.0, 2.0943951023931953]	[ 0.81078841 -1.81078841]
[0.0, 2, 0.0, 3.141592653589793]	[ 0.61803399 -1.61803399]
[3.141593, 2, 0.0, 3.141592653589793]	[ 1.30277564 -2.30277564]
[6.283185, 2, 0.0, 3.141592653589793]	[ 0.61803399 -1.61803399]
[1.378466, 2, 1.0471975511965976, 0.0]	[ 0.91713735 -1.91713735]
[2.765944, 2, 1.0471975511965976, 3.141592653589793]	[ 0.97537888 -1.97537888]
[4.520059, 2, 2.0943951023931953, 0.0]	[ 0.91713759 -1.91713759]
[5.907537, 2, 2.0943951023931953, 3.141592653589793]	[ 0.97537922 -1.97537922]
[1.047198, 2, 3.141592653589793, 0.0]	[ 0.8228761 -1.8228761]
[5.235988, 2, 3.141592653589793, 0.0]	[ 0.82287542 -1.82287542]
[4.839647, 2, 3.141592653589793, 1.0471975511965976]	[ 0.65961204 -1.65961204]
[5.806839, 2, 3.141592653589793, 2.0943951023931953]	[ 0.81078868 -1.81078868]
[0.0, 2, 3.141592653589793, 3.141592653589793]	[ 1.30277564 -2.30277564]
[3.141593, 2, 3.141592653589793, 3.141592653589793]	[ 0.61803399 -1.61803399]
[6.283185, 2, 3.141592653589793, 3.141592653589793]	[ 1.30277564 -2.30277564]
